,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
38294,38295,I am a developer by profession,"Not employed, but looking for work",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Online Courses or Certification;Colleague,5,,"Developer, back-end",,,,,Java;JavaScript;PHP;Python,Python,Firebase;MongoDB;MySQL;PostgreSQL,PostgreSQL,AWS,,Django;jQuery;Laravel,Django,,,Docker;Git,Docker;Git,IntelliJ;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,No,,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
38760,38761,I am a developer by profession,Employed full-time,Indonesia,,,Something else,18 - 24 years,Coding Bootcamp,4,4,"Developer, mobile;Developer, front-end",10 to 19 employees,IDR	Indonesian rupiah,5000000.0,Monthly,HTML/CSS;JavaScript;Kotlin;Node.js,C#;Go;Node.js;PHP,SQLite,MySQL;PostgreSQL,,,React.js;Vue.js,Express;React.js;Symfony;Vue.js,React Native,Flutter,Git,Docker;Git,Android Studio;IntelliJ;Webstorm,Android Studio;IntelliJ;PHPStorm;Rider;Webstorm,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,4392.0
38874,38875,I code primarily as a hobby,Employed full-time,Indonesia,,,Primary/elementary school,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Other (please specify):;Colleague;Books / Physical media",Less than 1 year,,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Other (please specify):;Data scientist or machine learning specialist;Developer, back-end;Database administrator;Scientist;Student;Developer, QA or test;Developer, game or graphics;Developer, embedded applications or devices;DevOps specialist;Data or business analyst;Designer;Engineering manager;Engineer, site reliability;Product manager;Senior Executive (C-Suite, VP, etc.);Educator;Marketing or sales professional",,,,,,,Cassandra,Cassandra,Microsoft Azure,Microsoft Azure,Flask,Flask,Apache Spark,Apache Spark,,,,,Other (please specify):,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Panic;Visit another developer community (please name):;Other (please specify):,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,No,,Neutral,No,35-44 years old,"Man;Woman;Non-binary, genderqueer, or gender non-conforming;Or, in your own words:",,Prefer to self-describe:,"Or, in your own words:","Or, in your own words:","Or, in your own words:",Too long,Neither easy nor difficult,
38922,38923,I am a student who is learning to code,"Student, full-time",Indonesia,,,Something else,35 - 44 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Other (please specify):;Colleague;Books / Physical media",15,,,,,,,APL,,Cassandra,,AWS,,,,,,Ansible,Ansible,Android Studio,Android Studio;Atom;Eclipse;Emacs;IntelliJ;IPython/Jupyter;NetBeans;Neovim;Notepad++;PHPStorm;PyCharm;Rider;RStudio;RubyMine;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic;Visit another developer community (please name):;Other (please specify):,I have never visited Stack Overflow or the Stack Exchange network,,,,,Yes,35-44 years old,Man,Yes,Bisexual,"Southeast Asian;Or, in your own words:",I am unable to / find it difficult to type,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Too short,Difficult,
39010,39011,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Coding Bootcamp;Online Forum;Friend or family member;Online Courses or Certification;Books / Physical media,8,5,"Developer, mobile;Developer, full-stack;Developer, back-end;Engineering manager;Product manager",20 to 99 employees,IDR	Indonesian rupiah,,Monthly,HTML/CSS;JavaScript;PHP;Python;Swift,Go;HTML/CSS;JavaScript;Node.js;PHP;Python;Swift,Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,DigitalOcean,DigitalOcean,Django;jQuery,Angular;Django;jQuery;Vue.js,Qt,Flutter;Qt;React Native,Git;Yarn,Docker;Git;Kubernetes,PyCharm;Visual Studio Code;Xcode,PyCharm;Visual Studio Code;Xcode,Linux-based,Visit Stack Overflow;Google it;Visit another developer community (please name):,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,No,,Neutral,Yes,25-34 years old,Man,No,,South Asian,,None of the above,Too long,Neither easy nor difficult,
39264,39265,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague;Books / Physical media",17,13,"Developer, back-end;Academic researcher;Designer","1,000 to 4,999 employees",IDR	Indonesian rupiah,49000000.0,Monthly,Dart;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,Dart;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,Couchbase;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Google Cloud Platform;Heroku;Microsoft Azure,AWS;Google Cloud Platform;Heroku;Microsoft Azure,Django;Express;Flask;jQuery;Laravel;Spring;Vue.js,Django;Express;Flask;Laravel;React.js;Spring;Vue.js,NumPy;Pandas,Apache Spark;Flutter;Hadoop;Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Docker;Git;Kubernetes,Docker;Git;Kubernetes;Puppet;Unity 3D,IntelliJ;IPython/Jupyter;PyCharm;Visual Studio Code,IntelliJ;IPython/Jupyter;PyCharm;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,43032.0
39309,39310,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague",4,5,"Developer, full-stack",100 to 499 employees,IDR	Indonesian rupiah,,Monthly,JavaScript;PHP,JavaScript;PHP,MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Google Cloud Platform,Google Cloud Platform,jQuery;Laravel;Vue.js,jQuery;Laravel;Vue.js,,,Docker;Git;Yarn,Docker;Git;Yarn,Visual Studio Code,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Prefer not to say,Prefer not to say,Prefer not to say,Too long,Neither easy nor difficult,
39315,39316,I am a student who is learning to code,"Student, full-time",Indonesia,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",10,,,,,,,C#;HTML/CSS;JavaScript;Node.js;TypeScript,C#;F#;HTML/CSS;JavaScript;Kotlin;Node.js;Rust;TypeScript,Firebase;MySQL;PostgreSQL,Firebase;MySQL;PostgreSQL;Redis,Heroku,Microsoft Azure,Express,Angular;ASP.NET Core ,,,Docker;Git,Deno;Docker;Git;Kubernetes,Neovim;Visual Studio Code,Android Studio;Neovim,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Prefer not to say,Prefer not to say,Prefer not to say,Appropriate in length,Neither easy nor difficult,
39337,39338,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",3,2,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Other (please specify):;Developer, back-end",2 to 9 employees,IDR	Indonesian rupiah,,,Java;JavaScript;Node.js;PHP;SQL,Bash/Shell;C#;Dart;Go;JavaScript;Kotlin;Node.js;Objective-C;PHP;Python;Ruby;SQL;TypeScript,Firebase;MariaDB;MySQL,Cassandra;MariaDB;MySQL;PostgreSQL;Redis,,,jQuery;Laravel,ASP.NET Core ;Django;Laravel;React.js;Ruby on Rails;Vue.js,.NET Framework,.NET Core / .NET 5;Flutter;React Native,Git,Docker;Git;Kubernetes,Android Studio;Atom;IntelliJ;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,Android Studio;IntelliJ;PyCharm;Vim;Visual Studio Code;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
39387,39388,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",13,4,"Data scientist or machine learning specialist;Developer, back-end;Scientist;Developer, embedded applications or devices;System administrator",2 to 9 employees,IDR	Indonesian rupiah,100000000.0,Yearly,C;Go;PHP;Python,Python,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,,,,,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git;Yarn,Git;Yarn,Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Visit another developer community (please name):,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,7318.0
39411,39412,I am a developer by profession,I prefer not to say,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc)",6,3,,"Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,,,C#;HTML/CSS;Java;Kotlin;PHP;SQL,C#;Dart;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;SQL;TypeScript,Firebase;MariaDB;MySQL;SQLite,Firebase;MariaDB,,,Laravel;React.js,Express;Gatsby;Laravel;React.js;Svelte;Vue.js,,,Unity 3D,Docker;Git;Kubernetes;Unity 3D;Yarn,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code;Xcode,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Play games,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,I am unable to / find it difficult to walk or stand without assistance,Prefer not to say,Appropriate in length,Easy,
39428,39429,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Books / Physical media",Less than 1 year,6,"Developer, front-end;Developer, full-stack",100 to 499 employees,IDR	Indonesian rupiah,10000000.0,Monthly,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Dart;Go,Elasticsearch;MariaDB;MongoDB;MySQL;Redis,Firebase,DigitalOcean;Heroku,AWS,jQuery;Laravel;React.js,FastAPI,React Native,Flutter,Docker;Git;Yarn,,Visual Studio Code,,Linux-based,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Prefer not to say,Southeast Asian,Prefer not to say,None of the above,Too long,Neither easy nor difficult,8784.0
39466,39467,I am a developer by profession,"Not employed, but looking for work",Indonesia,,,"Associate degree (A.A., A.S., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",4,,Other (please specify):,,,,,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,C#;C++;Go;HTML/CSS;JavaScript;PHP;TypeScript,MariaDB,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,,,jQuery;Vue.js,ASP.NET Core ;Laravel;React.js;Svelte;Vue.js,,,Docker;Git;Yarn,Docker;Git;Kubernetes;Unreal Engine;Xamarin;Yarn,Atom;Notepad++;Visual Studio Code,Android Studio;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Not sure,No,18-24 years old,Man,No,Straight / Heterosexual;Bisexual,Southeast Asian,None of the above,"I have autism / an autism spectrum disorder (e.g. Asperger's);Or, in your own words:",Appropriate in length,Easy,
39518,39519,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",4,,,,,,,C++;HTML/CSS;Python,,MySQL;SQLite,,AWS;Microsoft Azure,,ASP.NET;jQuery,,.NET Framework;Qt,,Git,,Emacs;Sublime Text,,Linux-based,Visit Stack Overflow;Play games,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Prefer not to say,South Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
39621,39622,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague;Books / Physical media",26,13,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, embedded applications or devices;System administrator;Educator","Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,,Monthly,Delphi,Dart;Delphi,MariaDB,MariaDB;PostgreSQL;SQLite,,,,,,,,,,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,A few times per month or weekly,Not sure/can't remember,,"Yes, somewhat",Yes,45-54 years old,Man,No,,Southeast Asian,None of the above,None of the above,Too long,Easy,
39640,39641,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media",3,,,,,,,Python,C#;C++;Python,,,,,,,,,Git,Docker;Git,Atom;Notepad++;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,Under 18 years old,Man,,,South Asian,,,Appropriate in length,Easy,
39736,39737,None of these,I prefer not to say,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):;Books / Physical media",5,5,,,,,,APL;Go;HTML/CSS;Java;JavaScript,APL;Go;HTML/CSS;Java;JavaScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Google Cloud Platform,Google Cloud Platform,ASP.NET;ASP.NET Core ;FastAPI;Vue.js,ASP.NET;ASP.NET Core ;FastAPI;Vue.js,.NET Framework;.NET Core / .NET 5;Apache Spark,.NET Framework;.NET Core / .NET 5;Apache Spark,Ansible;Flow,Ansible;Flow,Visual Studio Code;Webstorm;Xcode,Visual Studio Code;Webstorm;Xcode,Other (please specify):,Google it;Visit another developer community (please name):;Other (please specify):,Stack Exchange,Less than once per month or monthly,No,,Neutral,No,25-34 years old,Woman,Yes,Bisexual;Prefer to self-describe:;Gay or Lesbian,"White or of European descent;South Asian;Middle Eastern;East Asian;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",I am unable to / find it difficult to type,I have a concentration and/or memory disorder (e.g. ADHD);I have autism / an autism spectrum disorder (e.g. Asperger's),Too long,Difficult,
39752,39753,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",2,2,Data or business analyst,"1,000 to 4,999 employees",IDR	Indonesian rupiah,10000000.0,Monthly,Python;SQL,Python;SQL,MariaDB,,AWS;Google Cloud Platform,Google Cloud Platform,,,,,Git,Git,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,8784.0
39846,39847,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",5,,,,,,,Java;JavaScript;Node.js,Go;JavaScript;Kotlin;Node.js;Python;Rust;TypeScript,Firebase,Firebase;MongoDB,,,jQuery;React.js,React.js,React Native,React Native;TensorFlow;Torch/PyTorch,,,Android Studio;Atom;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Play games,Stack Overflow,Daily or almost daily,No,,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
39856,39857,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague",4,3,"Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,,Monthly,HTML/CSS;JavaScript;Python,Go;JavaScript;Python;Ruby,PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,Google Cloud Platform;Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku,Angular.js;Django;jQuery,Django;FastAPI;Flask,.NET Framework;.NET Core / .NET 5,Hadoop;Keras;NumPy;Pandas;Qt;TensorFlow;Torch/PyTorch,Git,Docker;Git;Kubernetes;Terraform;Yarn,Notepad++;PyCharm;Sublime Text;Vim;Visual Studio Code,IPython/Jupyter;PyCharm;Sublime Text;Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
39936,39937,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",7,5,"Developer, desktop or enterprise applications;Developer, back-end;Academic researcher;Student",20 to 99 employees,IDR	Indonesian rupiah,9100000.0,Monthly,C#;C++;Matlab;Node.js;PowerShell;Python;SQL;TypeScript,C#;C++;Matlab;Node.js;PowerShell;Python;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure,Heroku;Microsoft Azure,ASP.NET Core ;Express;Flask,ASP.NET Core ;Express;Flask,.NET Framework;.NET Core / .NET 5;Apache Spark;Keras;NumPy;Pandas;TensorFlow,.NET Core / .NET 5;Apache Spark;Keras;NumPy;Pandas;TensorFlow,Docker;Git;Kubernetes;Terraform;Xamarin,Docker;Git;Kubernetes;Terraform,IPython/Jupyter;Visual Studio;Visual Studio Code,IPython/Jupyter;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual;Bisexual,Southeast Asian,None of the above,None of the above,Too short,Easy,7992.0
40144,40145,I am a developer by profession,Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Colleague;Books / Physical media",16,6,"Developer, front-end;Developer, full-stack;Developer, back-end;Educator",100 to 499 employees,IDR	Indonesian rupiah,7000000.0,Monthly,HTML/CSS;JavaScript;Node.js;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,Elasticsearch;Firebase;Redis,Firebase,AWS;Google Cloud Platform,Google Cloud Platform,Express;Laravel;React.js;Vue.js,Express;Vue.js,,,Docker;Git;Kubernetes;Yarn,Deno;Docker;Git,Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,,Too short,Easy,6144.0
40153,40154,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",7,3,"Developer, front-end",20 to 99 employees,IDR	Indonesian rupiah,3850000.0,Monthly,C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL,MySQL,Heroku,Heroku,Angular;jQuery;React.js;Vue.js,Angular;React.js;Vue.js,,,Git,Git,Eclipse;NetBeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have an anxiety disorder,Appropriate in length,Easy,3384.0
40161,40162,I am a developer by profession,Employed part-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Coding Bootcamp;Online Forum;Online Courses or Certification;Books / Physical media,9,4,"Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,600000.0,Monthly,HTML/CSS;JavaScript,,MySQL,MySQL,Google Cloud Platform,Google Cloud Platform,Angular;Laravel,Angular;Laravel,TensorFlow,TensorFlow,Docker;Git,Docker;Git,Visual Studio Code,Visual Studio Code,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,Prefer not to say,None of the above,Appropriate in length,Neither easy nor difficult,528.0
40275,40276,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",12,8,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Database administrator;Developer, game or graphics;Developer, embedded applications or devices;Designer;Engineer, site reliability;Product manager",500 to 999 employees,IDR	Indonesian rupiah,50000000.0,Monthly,Bash/Shell;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;Perl;PHP;SQL;VBA,,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,,AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,,Django;Laravel;React.js,,,,Ansible;Docker;Flow;Git;Kubernetes,,Eclipse;Notepad++;PHPStorm;Sublime Text;Vim;Visual Studio Code;Xcode,,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per week,Yes,A few times per month or weekly,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,43908.0
40317,40318,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",8,3,"Developer, front-end;Designer","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,,,C#;C++;HTML/CSS;JavaScript;Node.js;TypeScript,HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,Microsoft SQL Server,Microsoft SQL Server;MySQL;SQLite,,,ASP.NET;jQuery;React.js,ASP.NET;React.js;Spring,.NET Framework,.NET Core / .NET 5;React Native,,,Visual Studio,Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian;South Asian;East Asian,None of the above,None of the above,Too long,Easy,
