,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
84040,84041,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Hackathons (virtual or in-person);Online Courses or Certification;School (i.e., University, College, etc)",,Udemy,8,6,"Developer, back-end",100 to 499 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Ask a generative AI tool,Indonesia,IDR	Indonesian rupiah,,Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,,BigQuery;Cloud Firestore;H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Snowflake,,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Vercel,,Express;Flask;NestJS;Next.js;Node.js;React;WordPress,,Apache Kafka;Apache Spark;Ionic;NumPy;Pandas;RabbitMQ;Spring Framework,,Homebrew;Kubernetes;Make;npm;Pip;Terraform;Webpack;Yarn,,Atom;DataGrip;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,,iOS;iPadOS;MacOS;Other Linux-based,MacOS,Confluence;Jira,,Google Meet;Slack;Telegram;Whatsapp,,Bing AI;ChatGPT,,GitHub Copilot,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Increase relevancy on searched solution,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,Learning about a codebase;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Project planning;Writing code;Documenting code;Debugging and getting help;Testing code,,,Project planning,,,Writing code;Documenting code;Debugging and getting help;Testing code,Yes,People manager,6.0,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,10+ times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),Healthcare,Too long,Easy,
84099,84100,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Associate degree (A.A., A.S., etc.)","Colleague;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,17,5,"Developer, front-end",10 to 19 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Indonesia,IDR	Indonesian rupiah,150000000.0,Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Dart;Go;Kotlin;Objective-C;TypeScript,MariaDB;MySQL,BigQuery;Cloud Firestore;Dynamodb,Vultr,Amazon Web Services (AWS);Google Cloud;Vercel,AngularJS;CodeIgniter;jQuery;Laravel;Node.js;Vue.js;WordPress,,Cordova;Electron,Flutter,APT;Composer;npm,,Nano;PhpStorm;Visual Studio Code,Xcode,Android;Windows;Windows Subsystem for Linux (WSL),,Redmine,,Google Chat;Google Meet;Slack;Whatsapp,,Bing AI;ChatGPT,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",I really like any technology that support any anyone to learn and improve the skill,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,5.0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,1-2 times a week,Never,Never,30-60 minutes a day,30-60 minutes a day,None of these,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,10100.0
84109,84110,I agree,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Bootstrapping a business;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,,3,2,"Developer, full-stack",2 to 9 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,USD	United States dollar,252000.0,HTML/CSS;TypeScript,HTML/CSS;Rust;TypeScript,Dynamodb;MySQL,Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud,Next.js,Next.js,React Native,React Native,Yarn,Yarn,Visual Studio Code,Visual Studio Code,MacOS,MacOS,,,Slack,Slack,ChatGPT,Google Bard AI,GitHub Copilot,GitHub Copilot,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Documenting code,Writing code,,,,,,Writing code,Yes,Individual contributor,2.0,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Never,1-2 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Microservices,Financial Services,,Easy,252000.0
84147,84148,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Friend or family member;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",,10,6,"Developer, mobile",100 to 499 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,220000000.0,Dart;TypeScript,Dart;JavaScript;Kotlin;Solidity;Swift,Firebase Realtime Database;PostgreSQL,Firebase Realtime Database;PostgreSQL;Supabase,Firebase,Firebase,React,Node.js,Flutter,Flutter;SwiftUI,Docker;Homebrew,,Android Studio;IntelliJ IDEA;Visual Studio Code,Android Studio;IntelliJ IDEA;Visual Studio Code,Android;iOS,Android,Confluence;Jira;Markdown File;Notion,Confluence;Jira;Markdown File;Notion,Discord;Google Chat;Google Meet;Slack;Whatsapp,Discord;Google Chat;Google Meet;Slack;Whatsapp,Bing AI;ChatGPT,Google Bard AI,,,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",its great as long as it help us to find solution faster,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,6.0,Strongly agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Never,1-2 times a week,Never,60-120 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Appropriate in length,Easy,14813.0
84172,84173,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow,Udemy;Coursera,5,1,"Developer, back-end",20 to 99 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,,Java;Python,,MySQL;PostgreSQL,,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,,Flask;jQuery;Laravel;Spring Boot,,Apache Kafka;Opencv;Pandas;Scikit-Learn;Spring Framework;TensorFlow,,Docker,,IntelliJ IDEA,,Windows;Windows Subsystem for Linux (WSL),,Confluence;Jira;Miro,,Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp,,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not at all",,"No, but I plan to soon",Very favorable,,Somewhat trust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
84212,84213,I agree,I am a developer by profession,18-24 years old,"Employed, full-time;Student, full-time",Remote,Hobby;Professional development or self-paced learning from online courses;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Programming Games,Codecademy;edX;Coursera;Udacity,8,,Data scientist or machine learning specialist,,,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Indonesia,,,Bash/Shell (all shells);C;C++;Java;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C++;Python;SQL,BigQuery;Microsoft SQL Server;PostgreSQL;Snowflake;SQLite,BigQuery;Elasticsearch;PostgreSQL;Snowflake,Amazon Web Services (AWS);VMware,Amazon Web Services (AWS);Google Cloud,WordPress,,Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Apache Kafka;Apache Spark;CUDA;Hadoop;Hugging Face Transformers;JAX;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Docker;Pip;Visual Studio Solution,Docker;Kubernetes;Pip;Visual Studio Solution,Android Studio;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;Notepad++;PyCharm;Visual Studio Code;Xcode,Windows,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Jira;Notion;Trello,Jira,Discord;Google Chat;Google Meet;Microsoft Teams;Whatsapp;Zoom,Google Chat;Google Meet;Slack;Zoom,ChatGPT;Google Bard AI,ChatGPT;Google Bard AI,,,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"Yes, somewhat",yes,"No, but I plan to soon",Very favorable,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,2.0,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Never,1-2 times a week,Never,Over 120 minutes a day,Less than 15 minutes a day,Innersource initiative,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,
84271,84272,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow",Udemy,4,4,"Developer, front-end",2 to 9 employees,I have little or no influence,,Start a free trial,Indonesia,IDR	Indonesian rupiah,106600000.0,Go;JavaScript;TypeScript,JavaScript;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,Nuxt.js;Vue.js,Nuxt.js;Vue.js,Torch/PyTorch,,npm;Visual Studio Solution;Webpack,npm;Visual Studio Solution;Webpack,Android Studio;Jupyter Notebook/JupyterLab;Visual Studio Code,Android Studio;Visual Studio Code,Windows,MacOS;Windows,Confluence;GitHub Discussions;Notion,Notion,Google Meet;Slack;Whatsapp,Google Meet;Slack;Whatsapp,ChatGPT,ChatGPT,,,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",good,Yes,Favorable,Greater efficiency,Somewhat distrust,,Learning about a codebase,,,,,,Learning about a codebase,Yes,Individual contributor,4.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Never,Never,Never,15-30 minutes a day,Less than 15 minutes a day,Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,7178.0
84409,84410,I agree,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time",In-person,Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow,,15,12,"Developer, full-stack",,,Investigate,,Indonesia,,,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript;Zig,MySQL;Redis,Cockroachdb;Elasticsearch;Firebase Realtime Database;MySQL;Redis,Digital Ocean;Render,Digital Ocean;Firebase;Render,AngularJS;CodeIgniter;Express;jQuery;Laravel;Vue.js;WordPress,Deno;Laravel;Node.js;Qwik;Solid.js;Svelte;Vue.js,,,Composer;Docker;npm,Composer;Docker;Vite,Notepad++;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio Code,iOS;MacOS;Windows;Windows Subsystem for Linux (WSL),MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Trello,Trello,Google Meet;Whatsapp;Zoom,Google Meet;Whatsapp;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",,"No, but I plan to soon",Indifferent,,Somewhat distrust,,,,,,,,,Yes,Individual contributor,15.0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Never,Never,Never,60-120 minutes a day,15-30 minutes a day,None of these,Retail and Consumer Services,Too long,Neither easy nor difficult,
84417,84418,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Certification videos,Pluralsight,11,4,"Developer, back-end","10,000 or more employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,,Go;Java;SQL,,Elasticsearch;Oracle;PostgreSQL;Redis,,Amazon Web Services (AWS),,Spring Boot,,Spring Framework,Apache Kafka,Docker;Kubernetes;Maven (build tool),,Goland;IntelliJ IDEA;Notepad++,,Windows;Windows Subsystem for Linux (WSL),,,,Microsoft Teams;Telegram;Whatsapp,,,,,,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat","It is useful, helpful and could be more accurate","No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,4.0,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,1-2 times a week,6-10 times a week,3-5 times a week,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,
84624,84625,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work",Remote,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Interactive tutorial;Certification videos,Other,2,,Student,,,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,Indonesia,,,HTML/CSS;JavaScript;PHP;Python;SQL,Rust;TypeScript,Firebase Realtime Database;MySQL;SQLite,,Netlify,,Laravel;Vue.js,Laravel;Nuxt.js,Flutter,Flutter;Tauri,,,Visual Studio Code,Visual Studio Code,Ubuntu;Windows,,,,,,ChatGPT,ChatGPT,,,Stack Overflow;Collectives on Stack Overflow,A few times per week,No,,"No, not really",,Yes,Indifferent,Increase productivity;Greater efficiency,Neither trust nor distrust,Learning about a codebase;Project planning;Testing code,Writing code;Debugging and getting help,Documenting code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Debugging and getting help,,,,Writing code,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
84636,84637,I agree,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;School (i.e., University, College, etc)",,Udemy,20,15,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have little or no influence,,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,,Ruby,Ruby,PostgreSQL,PostgreSQL,Digital Ocean,Digital Ocean,Ruby on Rails,Ruby on Rails,React Native,React Native,Homebrew,Homebrew,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Markdown File,Markdown File,Whatsapp;Zoom,Whatsapp;Zoom,,,,,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
84736,84737,I agree,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work",Remote,Bootstrapping a business,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Click to write Choice 20;Stack Overflow,,8,,"Developer, full-stack",,,Investigate,Visit developer communities like Stack Overflow;Other (please specify):;Research companies that have advertised on sites I visit,Indonesia,,,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,PostgreSQL,Cloudflare,Cloudflare,Express;Node.js;Svelte,Express;Node.js;Svelte,,,Homebrew;npm,Homebrew;npm,Vim;Visual Studio Code,Visual Studio Code,Ubuntu,Ubuntu,Notion;Trello,Trello,,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely","I'm skeptical. I don't think it's worth it. But if you guys want to try it for a few months, it's fine.","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
84747,84748,I agree,I code primarily as a hobby,Under 18 years old,"Student, full-time",,,Primary/elementary school,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,,3,,,,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,,,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL;Supabase,PostgreSQL;Supabase,Netlify,Netlify,Svelte,Svelte,,,npm;Pip;Vite,npm;Pip;Vite,Neovim;Visual Studio Code,Neovim;Visual Studio Code,Other Linux-based;Windows;Windows Subsystem for Linux (WSL),,Markdown File,Markdown File,Whatsapp,Whatsapp,,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,I don't think it is needed.,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
84953,84954,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,Primary/elementary school,"Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Other;Udemy,10,,"Developer, back-end",,,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,,,HTML/CSS;JavaScript;PHP;SQL,Go;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL;PostgreSQL;Redis,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud,Firebase;Google Cloud;Vercel,Laravel;Next.js;React,Flask;Laravel;Next.js;React,React Native,RabbitMQ,npm;Webpack;Yarn,Docker;Kubernetes;npm;Terraform;Webpack;Yarn,IntelliJ IDEA;PhpStorm;Visual Studio Code,IntelliJ IDEA;PhpStorm;Visual Studio Code,Android;Windows,Android;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Notion;Redmine;Trello,Notion;Redmine;Trello,Google Meet;Jitsi;Microsoft Teams;Telegram;Whatsapp,Discord;Google Meet;Telegram;Whatsapp,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",thats great,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates ,Writing code;Committing and reviewing code;Deployment and monitoring,,,,Deployment and monitoring,,Writing code;Committing and reviewing code,Yes,Individual contributor,6.0,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,3-5 times a week,1-2 times a week,3-5 times a week,60-120 minutes a day,30-60 minutes a day,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,,Appropriate in length,Easy,
85005,85006,I agree,I am learning to code,18-24 years old,"Student, full-time",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos,Other;Coursera,3,,,,,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,,,Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;SQL,Go;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,MySQL;PostgreSQL;SQLite;Supabase,Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Supabase,Firebase;Google Cloud;Heroku;Managed Hosting;Microsoft Azure;Vercel,Cloudflare;Firebase;Google Cloud;Microsoft Azure;Vercel,CodeIgniter;Express;jQuery;Laravel;Node.js;React;WordPress,AngularJS;CodeIgniter;Django;Express;Flask;Laravel;Next.js;Node.js;Nuxt.js;React;Vue.js,NumPy;Opencv;Pandas;React Native,Hadoop;Keras;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow,Composer;Docker;Gradle;npm;Pip;Vite;Webpack;Yarn,Composer;Docker;Kubernetes;npm;Pip;Vite;Webpack;Yarn,Android Studio;Atom;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Netbeans;PyCharm;Visual Studio Code,Android Studio;Visual Studio Code,Android;Windows,Windows,Miro;Notion;Trello,Jira;Notion;Trello,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,ChatGPT,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not at all",it's great,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,,Writing code;Documenting code;Deployment and monitoring,,,,Writing code;Deployment and monitoring,Documenting code,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
85183,85184,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Employed, full-time",In-person,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,,3,Less than 1 year,"Developer, back-end",I don’t know,I have little or no influence,,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,5000000.0,C++;JavaScript,C++;JavaScript;Python;SQL;Swift;TypeScript,,,,,Node.js,Node.js,,,CMake,CMake,Android Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code;Xcode,Android;Windows,Android;Windows,,,Google Meet;Zoom,Google Meet;Zoom,,,,,Stack Overflow;Stack Exchange,A few times per week,No,,Neutral,Clear answer with step by step,"No, but I plan to soon",Unsure,,Neither trust nor distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,337.0
