,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
43737,43738,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,Management information systems,A few days each month,"1,000 to 4,999 employees",Something else,3 to 4 years,1 to 2 years,,Web developer,Full stack Web developer,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",0.0,Between 1 and 2 years ago,Very important,Important,Very important,Important,Very important,Important,Important,Very important,Very important,Important,Important,Very important,Important,Important,Important,Stock options; Vacation/days off; Private office; Child/elder care; Other,Yes,,A recruiter contacted me,I visited the company's Web site and found a job listing there,Very important,Important,Very important,Very important,Important,Important,Important,Very important,Not at all important,Very important,,Greatly underpaid,Both,Not at all important,Hackathon,,,None of these,,C#; Java; JavaScript; VB.NET; VBA; Visual Basic 6,,AngularJS; Node.js; Spark; .NET Core,,SQL Server; Oracle,MongoDB; SQLite,Android; iOS; Windows Phone; Arduino; SharePoint; WordPress; Mainframe; Amazon Web Services (AWS); Microsoft Azure,Mac OS; Microsoft Azure,Notepad++; Visual Studio,Turn on some music,Pair,Copying and pasting files to network shares,Once a day,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Commit frequency; Release frequency; Customer satisfaction; On time/in budget; Manager's rating,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7.0,Desktop,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Male,A bachelor's degree,South Asian; I don’t know,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,
43942,43943,Used to be a professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week",100 to 499 employees,Venture-funded startup,5 to 6 years,,1 to 2 years,,,,,8.0,5.0,Strongly agree,Disagree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",14.0,Less than a year ago,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Very important,Retirement; Vacation/days off; Health benefits; Education sponsorship; Child/elder care,Yes,LinkedIn,,A career fair or on-campus recruiting event,Very important,Very important,Very important,Not very important,Very important,Important,Important,Very important,Not very important,Very important,,,Tabs,,Online course; On-the-job training; Self-taught,Official documentation; Textbook; Non-Stack online communities; Company internal community; Built-in help,,Take online courses; Bootcamp; Part-time/evening courses; Conferences/meet-ups,,Java; Python; SQL,Java; PHP; Python; SQL,,AngularJS; Node.js; React,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,MySQL; Oracle,Android; Windows Desktop; Linux Desktop; WordPress,Android; Windows Desktop; Linux Desktop; WordPress,Notepad++; Android Studio; Eclipse; IPython / Jupyter; NetBeans; PyCharm,Keep the room absolutely quiet,Agile; Scrum,Team Foundation Server,Just a few times over the year,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Agree,Bugs found; Hours worked; Release frequency; On time/in budget; Peers' rating,Very satisfied,Somewhat satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Not much influence,Some influence,Not much influence,Not much influence,Not much influence,Some influence,Not much influence,Not much influence,Not much influence,Some influence,Some influence,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,Desktop,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Strongly disagree,Strongly agree,,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Female,A master's degree,,Strongly agree,Agree,Disagree,Strongly agree,,
44283,44284,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer programming or Web development,"More than half, but not all, the time",Fewer than 10 employees,State-owned company,5 to 6 years,3 to 4 years,,Web developer,Front-end Web developer,,,7.0,9.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,Yes,Monster,A friend told me about a job opportunity,A tech-specific job board,Very important,Important,Very important,Not very important,Important,Somewhat important,Somewhat important,Not very important,Important,Important,,,Both,Not very important,Online course; Self-taught,Official documentation; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Company internal community; Other,,Get a job as a QA tester; Take online courses; Other,9:00 AM,JavaScript; PHP; SQL,C#; CoffeeScript; Elixir; JavaScript; Python; Ruby; SQL; TypeScript,,AngularJS; Node.js; React; Firebase,SQL Server; MySQL; PostgreSQL; SQLite,MongoDB; MySQL; PostgreSQL,Windows Desktop; Linux Desktop; WordPress,Windows Desktop; Linux Desktop; Mac OS; WordPress; Amazon Web Services (AWS),Sublime Text,Turn on some music,Evidence-based SWE,Git,Multiple times a day,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Release frequency; Customer satisfaction; On time/in budget,Not very satisfied,Not very satisfied,Satisfied,Somewhat satisfied,Not very satisfied,Not at all satisfied,Some influence,A lot of influence,Not much influence,No influence at all,No influence at all,No influence at all,Some influence,No influence at all,A lot of influence,A lot of influence,No influence at all,I have created a CV or Developer Story on Stack Overflow,10.0,Desktop; Android browser,Several times,Once or twice,Several times,At least once each week,At least once each week,Several times,Once or twice,Haven't done at all,Agree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Male,"Some college/university study, no bachelor's degree",,Disagree,Somewhat agree,Disagree,Somewhat agree,,
44477,44478,Professional developer,No,Indonesia,I prefer not to say,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),10 to 19 employees,Non-profit/non-governmental organization or private school/university,7 to 8 years,5 to 6 years,,Web developer,Back-end Web developer,,,9.0,9.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",18.0,Between 1 and 2 years ago,Important,Important,Somewhat important,Important,Somewhat important,Important,Very important,Important,Important,Very important,Important,Very important,Important,Somewhat important,Important,Retirement; Annual bonus; Health benefits; Remote options; Child/elder care,No,LinkedIn,A recruiter contacted me,A general-purpose job board,Important,Important,Very important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Euros (€),,Tabs,,,,,,1:00 AM,JavaScript; PHP; SQL,,,AngularJS; Node.js; React,MongoDB; MySQL,,Amazon Web Services (AWS),,Sublime Text; PHPStorm,Turn on some music,,,,,,,,,,,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Not very satisfied,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,I have created a CV or Developer Story on Stack Overflow,8.0,Desktop,Several times,At least once each week,Several times,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Male,"Some college/university study, no bachelor's degree",South Asian; I don’t know,Strongly agree,Somewhat agree,Somewhat agree,Agree,,
44645,44646,Student,"Yes, I program as a hobby",Indonesia,No,"Independent contractor, freelancer, or self-employed",Primary/elementary school,,About half the time,,,1 to 2 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",4.0,Between 1 and 2 years ago,,,,,,,,,,,,,,,,Other,Yes,,,,,,,,,,,,,,,,,,Online course,,,Take online courses; Contribute to open source; Bootcamp; Conferences/meet-ups,,,,,,,,,,,,Scrum,Mercurial,A few times a month,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Agree,Agree,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45417,45418,Professional developer,"Yes, both",Indonesia,"Yes, part-time",Employed full-time,Bachelor's degree,Management information systems,A few days each month,Fewer than 10 employees,I don't know,5 to 6 years,1 to 2 years,,Web developer; Mobile developer,,,,7.0,5.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,I am not interested in new job opportunities,,Less than a year ago,,,,,,,,,,,,,,,,Stock options; Annual bonus; Health benefits; Remote options; Meals,Yes,LinkedIn,"I completed a major project, assignment, or contract",A general-purpose job board,Very important,Not very important,Very important,Very important,Not very important,Important,Somewhat important,Somewhat important,Somewhat important,Very important,,,Spaces,,,,,,11:00 AM,Java; JavaScript; PHP,Elixir; Go; Python; Ruby; Scala,Firebase,Spark; Firebase,Redis; MySQL; PostgreSQL; Oracle; SQLite,Cassandra; Redis; PostgreSQL,Android; Mac OS; Amazon Web Services (AWS),Mac OS; Amazon Web Services (AWS),Atom; Sublime Text; Vim; Android Studio; IntelliJ; IPython / Jupyter; NetBeans; PyCharm,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Agile; Scrum,Git,A few times a month,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Release frequency; Customer satisfaction; On time/in budget; Revenue performance,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,Android app; Other phone browser,At least once each day,,,,,,,,,Strongly agree,Disagree,,Strongly agree,Strongly agree,,Disagree,Male,"Some college/university study, no bachelor's degree",South Asian,Strongly agree,Somewhat agree,Disagree,Somewhat agree,,
45729,45730,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,I don't know,5 to 6 years,1 to 2 years,,Web developer; Mobile developer,,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agile; Scrum,Git,Multiple times a day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46073,46074,Student,"Yes, both",Indonesia,No,"Not employed, but looking for work",Secondary school,,,,,2 to 3 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",0.0,Not applicable/ never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat satisfied,Somewhat satisfied,Satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46202,46203,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,It's complicated,100 to 499 employees,I don't know,14 to 15 years,6 to 7 years,,Mobile developer,,Android,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,I am not interested in new job opportunities,,Less than a year ago,,,,,,,,,,,,,,,,Annual bonus; Health benefits; Equipment; Remote options; Other,No,LinkedIn,I was just giving it a regular update,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Important,Important,Not very important,Not very important,Not very important,Not very important,Somewhat important,Not very important,Important,,Neither underpaid nor overpaid,Both,,,,,,Noon,Java,Java; Rust,Firebase,React; Firebase,,,Android,Android,Android Studio; Visual Studio Code,Turn on some music,Scrum,Git,Multiple times a day,Agree,Somewhat agree,Disagree,Disagree,Agree,Disagree,Agree,Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating; Self-rating,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; Android browser,Several times,Once or twice,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Disagree,Male,A bachelor's degree,East Asian,Somewhat agree,Disagree,Disagree,Agree,11667.040610276,
46300,46301,Student,"Yes, I program as a hobby",Indonesia,"Yes, part-time","Not employed, but looking for work",I never completed any formal education,,,,,1 to 2 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",8.0,Not applicable/ never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46357,46358,Student,"Yes, I program as a hobby",Indonesia,I prefer not to say,Employed part-time,Secondary school,,"Less than half the time, but at least one day each week","10,000 or more employees",I prefer not to answer,4 to 5 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Disagree,,Agree,Agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",1.0,Less than a year ago,Not very important,Not very important,Important,Important,Very important,Important,Important,Somewhat important,Important,Somewhat important,Very important,Important,Somewhat important,Important,Important,Vacation/days off; Health benefits; Professional development sponsorship; Education sponsorship; Meals,No,LinkedIn,,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Somewhat important,Important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,Not very important,Very important,,,Tabs,,Self-taught; Coding competition,Stack Overflow Q&A; Stack Overflow Docs; Friends network,,Take online courses; Part-time/evening courses; Buy books and work through the exercises; Conferences/meet-ups,3:00 PM,C; C++; C#,PHP; Python; SQL,,AngularJS; React,MySQL; Oracle,MySQL; Oracle,,Android; iOS; Linux Desktop,Sublime Text; PyCharm,Turn on some music,,Git,A few times a week,Disagree,Agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Customer satisfaction; Manager's rating,Satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,Not much influence,Some influence,Not much influence,Some influence,Not much influence,Some influence,Some influence,Not much influence,Not much influence,Not much influence,Not much influence,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,Desktop,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,,Disagree,,,Agree,Strongly agree,Disagree,Disagree,Male,A master's degree,South Asian,Agree,Somewhat agree,Disagree,Somewhat agree,,13461.9699349338
46673,46674,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,1 to 2 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",35.0,Less than a year ago,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Important,Very important,Important,Retirement; Health benefits; Expected work hours; Remote options; Meals,No,Other,,,Important,Important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Not very important,Important,,,Both,,,,,,10:00 AM,C; C++; C#; Java; SQL,Java; Objective-C; PHP; Ruby; Swift,,Firebase,SQL Server; MySQL; SQLite,MongoDB; SQLite,Android; Windows Desktop,Android; iOS; Mac OS,Notepad++; Sublime Text; Android Studio; IntelliJ,Turn on some music,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Not very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9.0,Desktop; Android browser; Android app,At least once each day,At least once each day,Several times,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,A bachelor's degree,I don’t know,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,673.098496746691
46676,46677,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,I prefer not to say,I prefer not to say,I prefer not to answer,,,,,Less than a year,Less than a year,,,,,Other,8.0,,,,,,,,,,Some other way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47052,47053,Student,"Yes, I program as a hobby",Indonesia,No,"Not employed, but looking for work",Secondary school,,,,,2 to 3 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,I am actively looking for a job,20.0,Less than a year ago,Important,Important,Important,Important,Important,Important,Important,Important,Important,Not very important,Important,Important,Important,Very important,Important,Vacation/days off; Health benefits; Expected work hours; Remote options; Meals,No,LinkedIn,,,Important,Important,Important,Not very important,Important,Not very important,Somewhat important,Important,Very important,Somewhat important,,,Tabs,,,,,,4:00 PM,,,,,,,,,,,,,,,,,,,,,,Satisfied,Not very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47066,47067,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,500 to 999 employees,Venture-funded startup,6 to 7 years,2 to 3 years,,Web developer,Back-end Web developer,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",3.0,Between 1 and 2 years ago,Somewhat important,Very important,Important,Important,Very important,Very important,Very important,Very important,Important,Very important,Not very important,Very important,Somewhat important,Not very important,Somewhat important,Stock options; Annual bonus; Health benefits; Professional development sponsorship; Remote options,No,,,,,,,,,,,,,,,,Spaces,,,,,,9:00 AM,C#; Java; JavaScript; PHP; Ruby; SQL,C; Go; JavaScript; PHP; Ruby; SQL,,React; Firebase,MongoDB; Redis; MySQL,MongoDB; Redis; MySQL; PostgreSQL,WordPress,Serverless; WordPress; Amazon Web Services (AWS),Vim,Keep the room absolutely quiet,Agile; Scrum,Git,Multiple times a day,Strongly agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Hours worked; Release frequency; On time/in budget; Manager's rating; Self-rating,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,A lot of influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,At least once each week,Once or twice,Several times,Haven't done at all,Once or twice,Several times,Several times,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Male,"Some college/university study, no bachelor's degree",South Asian,Somewhat agree,Strongly agree,Disagree,Strongly agree,,
47160,47161,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",20 to 99 employees,Venture-funded startup,5 to 6 years,5 to 6 years,,Web developer,Back-end Web developer,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",4.0,Between 1 and 2 years ago,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Important,Very important,Important,Very important,Important,Stock options; Annual bonus; Health benefits; Remote options; Child/elder care,Yes,LinkedIn,"I completed a major project, assignment, or contract",A general-purpose job board,Important,Important,Somewhat important,Somewhat important,Important,Important,Important,Important,Very important,Important,,Neither underpaid nor overpaid,Tabs,Very important,Online course; Bootcamp; Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Docs; Non-Stack online communities; Built-in help,I already had a job as a developer when I started the program,Take online courses; Part-time/evening courses; Buy books and work through the exercises; Conferences/meet-ups,6:00 AM,JavaScript; PHP; SQL,Dart; Go; Java; Python; R; Ruby; Swift; TypeScript,AngularJS,Hadoop; Node.js; React; Spark; Cordova; Xamarin; Firebase; .NET Core,MySQL,Cassandra; MongoDB; Redis; SQL Server; PostgreSQL; Oracle; SQLite,Mac OS; WordPress,Android; iOS; Windows Phone; Windows Desktop; Linux Desktop; Arduino; Raspberry Pi; Serverless; Salesforce; SharePoint; Amazon Web Services (AWS),Notepad++; Sublime Text; Vim; Eclipse; PHPStorm,Turn on some music,,,,,,,,,,,,Very satisfied,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Not very satisfied,A lot of influence,A lot of influence,Some influence,A lot of influence,A lot of influence,Not much influence,A lot of influence,Some influence,Not much influence,A lot of influence,A lot of influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop; Android browser,Several times,Several times,Once or twice,Once or twice,Once or twice,,Haven't done at all,Haven't done at all,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Male,A bachelor's degree,East Asian,Agree,Disagree,Disagree,Agree,1869.71804651858,
47171,47172,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed",Bachelor's degree,A non-computer-focused engineering discipline,Never,,,1 to 2 years,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,I am actively looking for a job,20.0,Not applicable/ never,Not very important,Not very important,Not very important,Not very important,Important,Very important,Important,Important,Very important,Important,Not very important,Important,Important,Not very important,Not very important,Health benefits; Professional development sponsorship; Education sponsorship; Remote options; Child/elder care,Yes,LinkedIn,,,Not very important,Very important,Important,Not very important,Not very important,Not very important,Not very important,Not very important,Very important,Important,U.S. dollars ($),,Both,,Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Company internal community; Friends network; Built-in help,,Take online courses; Part-time/evening courses; Conferences/meet-ups,7:00 AM,C++; C#; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,C++; C#; Python,Xamarin; .NET Core,Hadoop; Xamarin,MySQL,MongoDB; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Windows Desktop; Mac OS; WordPress,Android; iOS; Windows Phone; Windows Desktop; Linux Desktop; Mac OS; Arduino; Raspberry Pi; SharePoint; Amazon Web Services (AWS); Microsoft Azure,Sublime Text; IPython / Jupyter; PyCharm; Visual Studio,Keep the room absolutely quiet,,,,,,,,,,,,Not very satisfied,Not very satisfied,Not at all satisfied,Not very satisfied,Not very satisfied,Not very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop,At least once each day,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,A bachelor's degree,"Native American, Pacific Islander, or Indigenous Australian",Agree,Disagree,Agree,Strongly agree,,900.0
