,ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
62648,62649,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Bootstrapping a business;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague;Hackathons (virtual or in-person)",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online forum;How-to videos,,10,3,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;Database administrator;Developer, game or graphics;Project manager;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator;Marketing or sales professional",2 to 9 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,45000000.0,Yearly,C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,MariaDB;MySQL,Cloud Firestore;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis,Managed Hosting,AWS;Colocation;DigitalOcean;Firebase;Google Cloud;Linode;Managed Hosting;Microsoft Azure;Oracle Cloud Infrastructure;OVH,jQuery;Next.js,Deno;Express;Next.js;Node.js;React.js;Vue.js,Cordova;Ionic;Scikit-learn,Electron;Flutter;Ionic,npm;Unity 3D,Docker;Kubernetes;npm;Unity 3D;Unreal Engine,Android Studio;IntelliJ;Nano;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Nano;Notepad++;Visual Studio;Visual Studio Code;Xcode,Linux-based;Windows,Windows,Git,Version control hosting service web GUI;Dedicated version control GUI application,,,Trello,Trello,,,Unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,"Yes, somewhat",25-34 years old,Man,No,,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,3.0,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Very short,None of these,Yes,No,Yes,Too long,Easy,3072.0
62720,62721,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague",Technical documentation;Written Tutorials;Stack Overflow;How-to videos;Coding sessions (live or recorded),,5,2,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,10000000.0,Monthly,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,Elasticsearch;Microsoft SQL Server;MySQL;Oracle,Microsoft SQL Server;MySQL;Oracle,,,Angular;jQuery;Laravel,jQuery;Laravel,,,,,Notepad++;Vim;Visual Studio Code,Visual Studio Code,Windows,Windows,Git;SVN,Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Trello,,Microsoft Teams;Zoom,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,A few times per week,No,,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,Yes,Independent contributor,2.0,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Never,1-2 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,Somewhat short,None of these,Yes,No,Yes,Appropriate in length,Easy,8196.0
62729,62730,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial,Coursera;Udemy;Codecademy;Skillsoft,10,8,"Developer, full-stack","10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,9000000.0,Monthly,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C#;Dart;HTML/CSS;JavaScript;Python;SQL;Swift,Microsoft SQL Server;Oracle;PostgreSQL,DynamoDB;Microsoft SQL Server;PostgreSQL,AWS,AWS,Angular.js;ASP.NET;Flask;Node.js;React.js,ASP.NET Core ;Django;Flask;Node.js;React.js,.NET;React Native,.NET;Flutter,npm,Docker;Homebrew;Kubernetes;npm,Android Studio;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Notepad++;Visual Studio Code;Xcode,Windows,macOS,Git;SVN,Command-line;Version control hosting service web GUI,,,Jira Work Management;Microsoft Planner,Notion,Google Chat;Microsoft Teams;Zoom,Cisco Webex Teams,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,"Or, in your own words:",No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,8.0,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Just right,None of these,No,Yes,Yes,Too short,Easy,7368.0
62732,62733,I am a developer by profession,"Student, full-time;Employed, part-time",Full in-person,Hobby;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded),Coursera;Udemy;edX,2,,"Developer, back-end;Student",,,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Rust;TypeScript,Go;HTML/CSS;JavaScript;PHP,MariaDB;MySQL;PostgreSQL;SQLite,DynamoDB;Elasticsearch;MariaDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis,AWS;DigitalOcean;Google Cloud;Heroku,AWS;DigitalOcean;Google Cloud;Heroku;Linode;Microsoft Azure,Angular.js;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React.js,Deno;Express;Fastify;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React.js;Ruby on Rails;Svelte;Vue.js,,,Docker;npm;Yarn,Ansible;Docker;npm;Yarn,Atom;Neovim;PhpStorm;Sublime Text;Visual Studio Code,Neovim;Visual Studio Code,Linux-based;Windows,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Indifferent,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
62754,62755,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Online Courses or Certification,,Udemy,4,2,"Developer, full-stack",10 to 19 employees,I have little or no influence,Start a free trial;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,3600000.0,Monthly,Dart;JavaScript;PHP,Dart;Java;Rust,Cloud Firestore;MariaDB;MySQL;Firebase Realtime Database;SQLite,Cloud Firestore;MySQL;Redis,Firebase,Firebase,Laravel,Laravel;Symfony,Flutter,Flutter;TensorFlow,Docker,,Android Studio;IntelliJ;Visual Studio Code;Xcode,IntelliJ;Visual Studio Code,Linux-based;macOS,Windows,Git,Command-line,,,Trello,Airtable,,,Unsure,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,4.0,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,3-5 times a week,1-2 times a week,1-2 times a week,Less than 15 minutes a day,Less than 15 minutes a day,Very long,None of these,Yes,Yes,Yes,Appropriate in length,Easy,2952.0
62918,62919,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Colleague",Blogs;Written Tutorials;How-to videos;Certification videos,,15,10,"Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,25000000.0,Monthly,HTML/CSS;PHP,Go;Java;JavaScript;Kotlin;Rust,MySQL;PostgreSQL,Elasticsearch;MongoDB;MySQL;Oracle,AWS,AWS;Google Cloud,Laravel;Symfony,Node.js;React.js,,,Docker;npm,Docker;Kubernetes;npm,PhpStorm;Sublime Text;Visual Studio Code,Android Studio;IntelliJ;PhpStorm;Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Command-line;Dedicated version control GUI application,,,Jira Work Management;Notion;Trello,Notion,Slack;Zoom,,Favorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Prefer to self-describe:,Asian,None of the above,None of the above,Yes,Independent contributor,2.0,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,3-5 times a week,3-5 times a week,3-5 times a week,Over 120 minutes a day,15-30 minutes a day,Somewhat short,Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Too long,Neither easy nor difficult,20484.0
63010,63011,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,10,3,"Developer, full-stack",20 to 99 employees,I have some influence,Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,8000000.0,Monthly,C#;HTML/CSS;JavaScript;SQL,C#;F#;Go;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,,,ASP.NET;ASP.NET Core ;jQuery,ASP.NET;ASP.NET Core ;Blazor;jQuery,.NET,.NET,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Git,Command-line,,,ClickUp;Trello,,Microsoft Teams,Google Chat,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Not sure/can't remember,,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,3.0,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,Developer portal or other central places to find tools/services,Yes,Yes,No,Too long,Easy,6552.0
63260,63261,I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Fully remote,Hobby;Freelance/contract work;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Coding sessions (live or recorded),Coursera;Udemy,3,,"Data scientist or machine learning specialist;Developer, full-stack;Student",,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,HTML/CSS;JavaScript;PHP;Python;R;SQL,Go;Swift;TypeScript,MySQL;PostgreSQL;SQLite,MongoDB;Firebase Realtime Database,Google Cloud;Heroku,AWS;Microsoft Azure,Django;React.js,Next.js;Svelte,Keras;NumPy;Pandas;Scikit-learn;TensorFlow,Flutter;React Native;Torch/PyTorch,,,Atom;IPython/Jupyter;RStudio;Spyder;Sublime Text;Visual Studio Code,Neovim,macOS,macOS,Git,Command-line,,,Notion;Trello,Notion;Trello,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
64677,64678,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Stack Overflow;Video-based Online Courses,Coursera,1,1,"Developer, full-stack;Developer, desktop or enterprise applications","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,100000000.0,Yearly,Python;SQL,Python;SQL,MySQL,MySQL,,,,,NumPy;Qt;Torch/PyTorch,NumPy;Qt;Torch/PyTorch,,,Visual Studio Code,Visual Studio Code,Linux-based,Linux-based;macOS;Windows,Git,Code editor;Command-line,,,,,Zoom,Zoom,Very favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,6827.0
64731,64732,I am learning to code,"Student, part-time",,,Primary/elementary school,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",,Udemy,3,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,Swift,Swift,MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,Firebase;Google Cloud,Firebase,Laravel,Laravel;React.js;Vue.js,Flutter,Flutter;React Native,Homebrew;npm,Homebrew;npm,Android Studio;IntelliJ;PhpStorm;Visual Studio Code;Xcode,PhpStorm,macOS,macOS,Git,Command-line,,,Notion;Trello,Notion;Trello,Zoom,Slack;Zoom,Unsure,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
64811,64812,I am a developer by profession,"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;Written-based Online Courses",Coursera;Udemy;Codecademy,7,,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Student;Educator;Academic researcher;Developer, embedded applications or devices;Developer, game or graphics;Scientist",,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,,,,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,Bash/Shell;JavaScript;PHP;Python,MySQL,MongoDB;MySQL;SQLite,AWS;DigitalOcean;Google Cloud;Heroku;Linode;Oracle Cloud Infrastructure,DigitalOcean,Django;Flask;jQuery;Laravel;Node.js;React.js,Flask;Node.js,Keras;NumPy;Pandas;Qt;React Native;Scikit-learn;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch,Docker;npm;Unity 3D;Unreal Engine;Yarn,Docker;npm;Unity 3D;Yarn,Android Studio;Atom;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PyCharm;Qt Creator;Sublime Text;Vim;Visual Studio;Visual Studio Code,IPython/Jupyter;Notepad++;Sublime Text;Vim;Visual Studio,Linux-based,Linux-based;Windows,Git,Command-line,,,Trello,,Cisco Webex Teams;Zoom,Zoom,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
64815,64816,I am learning to code,"Student, full-time;Not employed, and not looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification","Programming Games;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Interactive tutorial",,3,,,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,HTML/CSS,HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,MariaDB;MySQL,MongoDB;SQLite,Google Cloud,AWS;DigitalOcean;Linode;Microsoft Azure,Drupal;Node.js;React.js,Drupal;jQuery;Node.js;React.js;Vue.js,,,npm,Docker;npm,Atom;Nano;Visual Studio Code,Visual Studio Code,Linux-based,Windows,I don't use one,,,,,,Google Chat;Zoom,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"Yes, somewhat",Prefer not to say,Prefer not to say,No,Straight / Heterosexual,Asian,I am blind / have difficulty seeing,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
64865,64866,I code primarily as a hobby,"Student, part-time",,,Something else,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Blogs;Stack Overflow;Coding sessions (live or recorded),,2,,,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,Dart;HTML/CSS;JavaScript;Python;TypeScript,Rust,MongoDB;Redis,,Firebase;Heroku,Microsoft Azure,Django;Express;Flask;Next.js;Node.js;React.js,Deno,,,Docker;npm;Yarn,,Atom;Nano;Neovim;Notepad++;Vim;Visual Studio Code,,,,Git,Command-line,,,,,,,Unsure,Stack Overflow,Daily or almost daily,Yes,Multiple times per day,Not sure,Under 18 years old,Man,No,Prefer not to say,East Asian,Prefer not to say,Prefer not to say,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
64961,64962,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Video-based Online Courses,Udemy;Codecademy;Udacity,6,2,"Developer, mobile",I don’t know,I have little or no influence,Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,,Monthly,C++;Java;Kotlin,Kotlin,,,,,React.js,,,,,,Android Studio;IntelliJ;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,macOS,Windows,Git,Code editor,,,ClickUp;Confluence;Jira Work Management;Notion,Confluence;Jira Work Management;Notion,Microsoft Teams;Slack,Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,I don't know,,None of the above,Yes,Independent contributor,2.0,,,,,,,,1-2 times a week,1-2 times a week,Never,Over 120 minutes a day,15-30 minutes a day,,Continuous integration (CI) and (more often) continuous delivery,No,Yes,Yes,Too long,Neither easy nor difficult,
65085,65086,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);Other (please specify):",Technical documentation;Blogs;Stack Overflow;Online forum,,25,23,"Developer, front-end;Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,23000000.0,Monthly,C;C#;C++;Delphi;Java;JavaScript;SQL;VBA,C#;Dart;Go;JavaScript;Kotlin;Python;SQL;TypeScript,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;Firebase Realtime Database;Redis;SQLite,DigitalOcean;Google Cloud,Google Cloud;Microsoft Azure,ASP.NET;ASP.NET Core ;jQuery,ASP.NET Core ;Blazor;Django;Express;Fastify;Flask;jQuery;Node.js;React.js;Vue.js,.NET,Flutter;Hadoop;NumPy;React Native;TensorFlow;Torch/PyTorch,npm,Docker;Flow;npm,Android Studio;Notepad++;Visual Studio,Notepad++;Visual Studio;Visual Studio Code,Linux-based;Windows,macOS;Windows,Git,Dedicated version control GUI application,,,,,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Easy,18840.0
65348,65349,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Coding sessions (live or recorded);Certification videos",Coursera;Udemy;Codecademy;edX;Udacity,5,2,"Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,I have some influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,13000000.0,Monthly,HTML/CSS;JavaScript;Ruby,Elixir;Erlang;HTML/CSS;JavaScript;Ruby,MySQL;PostgreSQL;Firebase Realtime Database;Redis,MySQL;PostgreSQL;Firebase Realtime Database;Redis,AWS;DigitalOcean,AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Linode;Microsoft Azure,jQuery;Ruby on Rails,jQuery;Node.js;Phoenix;Ruby on Rails,,,Ansible;Docker;Homebrew;Yarn,Ansible;Docker;Homebrew;Yarn,Sublime Text;Visual Studio Code,RubyMine;Sublime Text;Visual Studio Code;Xcode,macOS,macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,Jira Work Management,Adobe Workfront;Confluence;Jira Work Management;Stack Overflow for Teams,Slack,Microsoft Teams;Slack,Very favorable,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Yes,Independent contributor,2.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,60-120 minutes a day,Somewhat short,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,10644.0
65426,65427,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Associate degree (A.A., A.S., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague","Technical documentation;Blogs;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum;Coding sessions (live or recorded)",Udemy;Pluralsight,10,7,"Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,,,C#;JavaScript;SQL,C#;JavaScript;SQL,Microsoft SQL Server;Oracle,Microsoft SQL Server;Oracle;PostgreSQL,VMware,VMware,ASP.NET;ASP.NET Core ;React.js,ASP.NET;ASP.NET Core ;React.js,.NET,.NET,,,Notepad++;Visual Studio;Visual Studio Code,IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,macOS;Windows,Git,Code editor;Command-line;Dedicated version control GUI application,,,Jira Work Management,,Microsoft Teams;Slack,Microsoft Teams,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,25-34 years old,Man,No,,Southeast Asian,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
65609,65610,I am learning to code,"Student, part-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Video-based Online Courses;Written-based Online Courses,Udemy;edX,2,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust,Assembly;Bash/Shell;C;C++;Go;Java;JavaScript;Kotlin;Lua;Python;Rust;SQL;TypeScript,Oracle,MySQL;Oracle,AWS;Heroku;Oracle Cloud Infrastructure,AWS;Heroku;IBM Cloud or Watson;Oracle Cloud Infrastructure,Node.js,Node.js;Vue.js,Capacitor;Electron;Ionic;Qt,Capacitor;Qt,Docker;npm;Unity 3D;Yarn,Docker;Kubernetes;npm;Unreal Engine;Yarn,Android Studio;Atom;Emacs;Neovim;Vim;Visual Studio Code,Android Studio;IntelliJ;Neovim;Vim;Xcode,BSD;Linux-based,Linux-based,Git,Command-line,,,,,Google Chat;Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,,,No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
