,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
87841,20850,Yes,Yes,Indonesia,No,"Not employed, and not looking for work",Primary/elementary school,,,Student,3-5 years,,,,,I am not interested in new job opportunities,I've never had a job,10.0,7.0,4.0,1.0,3.0,8.0,2.0,9.0,5.0,6.0,8.0,4.0,5.0,2.0,6.0,10.0,11.0,1.0,9.0,3.0,7.0,,,,,,,,,,,,,A friend told me about a job opportunity,,"500,000.00",Monthly,444.0,IDR,,,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To win prizes or cash awards;Because I find it enjoyable",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,C#;Java;Python;HTML;CSS,C++;C#;Java;JavaScript;PHP;Python;HTML;CSS,,MySQL,Arduino;Raspberry Pi,Android;Arduino;Raspberry Pi,,Angular;Django;Node.js;React;TensorFlow,NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio,Windows,1,,Git,Multiple times per day,Yes,No,,Strongly disagree,Neither agree nor disagree,Somewhat disagree,,6.0,3.0,1.0,4.0,7.0,5.0,2.0,"Artificial intelligence surpassing human intelligence (""the singularity"")","Evolving definitions of ""fairness"" in algorithmic versus human decisions",Nobody,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Multiple times per day,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,No,A little bit interested,Extremely interested,A little bit interested,Very interested,A little bit interested,I do not have a set schedule,5 - 8 hours,30 - 59 minutes,Never,Standing desk;Ergonomic keyboard or mouse,3 - 4 times per week,Female,Straight or heterosexual,Primary/elementary school,South Asian,Under 18 years old,No,,The survey was an appropriate length,Neither easy nor difficult
88121,31985,Yes,No,Indonesia,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer,0-2 years,,,,,I am actively looking for a job,I've never had a job,5.0,8.0,3.0,1.0,2.0,9.0,7.0,6.0,4.0,10.0,2.0,6.0,8.0,3.0,11.0,1.0,7.0,10.0,5.0,9.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,5.0,7.0,4.0,6.0,1.0,3.0,I did not receive an expected change in compensation,,3000000,Monthly,2688.0,IDR,,,,,,,Agree,Neither Agree nor Disagree,Agree,C++;Java;PHP;SQL;Visual Basic 6;Delphi/Object Pascal;HTML;CSS,JavaScript;PHP;SQL;HTML;CSS,MySQL,MySQL,Heroku,Heroku,Angular;Node.js;React,Angular;Node.js;React,Atom;Sublime Text;Visual Studio Code,Windows,1,Agile,Git,Never,Yes,No,,Somewhat agree,Somewhat agree,Somewhat agree,Clicked on an online advertisement,2.0,1.0,5.0,3.0,7.0,4.0,6.0,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes,Somewhat interested,Somewhat interested,,Very interested,Somewhat interested,Before 5:00 AM,5 - 8 hours,Less than 30 minutes,Never,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
88170,33489,No,Yes,Indonesia,"Yes, full-time","Not employed, but looking for work",,,,Back-end developer;Educator or academic researcher;Student,0-2 years,,,,,I am actively looking for a job,I've never had a job,8.0,5.0,3.0,4.0,10.0,1.0,2.0,9.0,7.0,6.0,,,,,,,,,,,,4.0,1.0,2.0,5.0,3.0,2.0,3.0,1.0,7.0,4.0,6.0,5.0,My job status or other personal status changed,U.S. dollars ($),,,,,,,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",,To improve my general technical skills or programming ability,Strongly agree,Strongly disagree,Agree,Java;HTML;CSS,Clojure;Python;HTML;CSS,MySQL,MySQL;MariaDB,Linux,Linux,,Django,Emacs,Linux-based,1,,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat agree,Somewhat agree,Neither agree nor disagree,,1.0,3.0,2.0,5.0,4.0,7.0,6.0,,Increasing automation of jobs,Prominent industry leaders,"I don't care about it, or I haven't thought about it.",No,"Yes, but only within the company",Upper management at the company/organization,Yes,8,Multiple times per day,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure,Extremely interested,Extremely interested,Very interested,Extremely interested,Extremely interested,Before 5:00 AM,5 - 8 hours,1 - 2 hours,3 - 4 times per week,,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",East Asian,18 - 24 years old,,,The survey was too long,Neither easy nor difficult
88196,34412,Yes,No,Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed",Associate degree,"Information systems, information technology, or system administration",,Back-end developer,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88375,41484,Yes,Yes,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer,0-2 years,,,,,I am not interested in new job opportunities,I've never had a job,10.0,5.0,7.0,1.0,3.0,9.0,4.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contributed to open source software,,,,,,,Bash/Shell,C;C++;JavaScript;Objective-C,,,Android;Linux;Mac OS;Mainframe,,,,Visual Studio;Visual Studio Code;Xcode,BSD/Unix,1,,Git,Once a day,No,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,,,9,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,Somewhat interested,Very interested,Not at all interested,A little bit interested,Somewhat interested,Before 5:00 AM,5 - 8 hours,Over 4 hours,1 - 2 times per week,Standing desk,1 - 2 times per week,,,,,,,,The survey was too long,Somewhat difficult
88507,46706,No,No,Indonesia,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,7.0,9.0,3.0,2.0,10.0,8.0,5.0,1.0,6.0,4.0,3.0,6.0,5.0,2.0,9.0,1.0,11.0,10.0,7.0,8.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,5.0,1.0,2.0,7.0,6.0,3.0,I did not receive an expected change in compensation,Euros (€),,Monthly,,EUR,,,,,,,Disagree,Strongly agree,Strongly agree,Java,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",,Amazon Echo;Android;Apple Watch or Apple TV;Arduino;AWS;Azure;Drupal;ESP8266;Gaming console;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;iOS;Linux;Mac OS;Mainframe;Predix;Raspberry Pi;Salesforce;Serverless;SharePoint;Windows Desktop or Server;Windows Phone;WordPress;Firebase,,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch,NetBeans,Windows,1,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Copying and pasting files to network shares,Never,I'm not sure/I don't know,,,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement,1.0,3.0,5.0,6.0,4.0,2.0,7.0,Increasing automation of jobs,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,5,I have never visited Stack Overflow (before today),,,,,,No,Very interested,Extremely interested,Very interested,Very interested,Very interested,Before 5:00 AM,5 - 8 hours,Over 4 hours,Never,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,18 - 24 years old,No,,The survey was an appropriate length,Somewhat difficult
88556,49119,Yes,No,Indonesia,No,"Independent contractor, freelancer, or self-employed",Primary/elementary school,,,,3-5 years,,,,,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,2.0,8.0,4.0,1.0,5.0,7.0,10.0,6.0,9.0,3.0,1.0,10.0,2.0,5.0,7.0,8.0,3.0,4.0,6.0,9.0,11.0,1.0,2.0,4.0,3.0,5.0,4.0,2.0,3.0,1.0,6.0,5.0,7.0,My job status or other personal status changed,,,,,,,,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",Questions & answers on Stack Overflow,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly disagree,C;C++;C#;JavaScript;PHP;SQL;Visual Basic 6;HTML;CSS,C;C++;C#;JavaScript;Lua;Objective-C;Perl;PHP;SQL;Visual Basic 6;HTML;CSS,MySQL,MongoDB;SQL Server;MySQL;PostgreSQL,Arduino,Arduino,Node.js,Angular;Django;Node.js;React;Spark;Cordova;Xamarin,Notepad++,Windows,2,,Git;Zip file back-ups,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads;The website I was visiting has interesting ads,Strongly agree,Strongly agree,Somewhat disagree,Clicked on an online advertisement,3.0,4.0,1.0,2.0,6.0,7.0,5.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, and publicly",The developer who wrote it,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,Somewhat interested,Extremely interested,Extremely interested,A little bit interested,Extremely interested,Between 5:00 - 6:00 AM,5 - 8 hours,Less than 30 minutes,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)","Native American, Pacific Islander, or Indigenous Australian;White or of European descent",Under 18 years old,No,,The survey was too long,Somewhat easy
88594,50601,Yes,Yes,Indonesia,,,Associate degree,"Computer science, computer engineering, or software engineering",,Back-end developer,3-5 years,,,,,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,9.0,7.0,6.0,3.0,4.0,5.0,10.0,1.0,2.0,4.0,6.0,10.0,1.0,2.0,11.0,7.0,9.0,8.0,5.0,3.0,,,,,,,,,,,,,A recruiter contacted me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88780,57631,Yes,Yes,Indonesia,No,"Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,I am actively looking for a job,Between 2 and 4 years ago,10.0,4.0,1.0,6.0,9.0,8.0,2.0,5.0,7.0,3.0,6.0,7.0,8.0,11.0,1.0,5.0,2.0,10.0,9.0,4.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,6.0,1.0,3.0,7.0,4.0,5.0,A friend told me about a job opportunity,U.S. dollars ($),,Weekly,,USD,,,"Taken an online course in programming or software development (e.g. a MOOC);Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software",,,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable",Agree,Agree,Strongly agree,Visual Basic 6;Bash/Shell,PHP;Python;SQL;HTML;CSS;Bash/Shell,,SQL Server;MySQL;MariaDB,Linux;WordPress,Linux,,,Android Studio;Atom;Sublime Text;Vim,Linux-based,2,,Git,Less than once per month,I'm not sure/I don't know,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,,,,I'm excited about the possibilities more than worried about the dangers.,,"Yes, and publicly",,,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes,Very interested,Extremely interested,Very interested,Very interested,Very interested,Before 5:00 AM,Over 12 hours,1 - 2 hours,3 - 4 times per week,Fatigue-relieving floor mat;Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,Primary/elementary school,South Asian,18 - 24 years old,No,,The survey was too long,Very easy
88832,59607,Yes,No,Indonesia,"Yes, part-time","Independent contractor, freelancer, or self-employed",Associate degree,,,Designer;Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A friend told me about a job opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,A few times per week,I'm not sure / I can't remember,,Yes,,0 (Not Likely),I'm not sure,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Before 5:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,,,,,,,,,
88907,61453,No,No,Indonesia,No,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,,,,,,,,,,,4.0,6.0,3.0,10.0,7.0,5.0,8.0,11.0,1.0,9.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,2.0,1.0,3.0,6.0,7.0,5.0,I did not receive an expected change in compensation,,,,,,,,Taken a part-time in-person course in programming or software development,,,,Strongly agree,Agree,Strongly agree,,JavaScript;Python;Ruby,,MongoDB;Redis;MySQL;MariaDB,,Heroku;Firebase,,Angular;Node.js,Atom;Notepad++;Visual Studio Code,,1,Lean,I don't use version control,,Yes,Yes,The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads,Strongly disagree,Strongly agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,3.0,1.0,2.0,5.0,4.0,6.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure,Somewhat interested,Somewhat interested,Extremely interested,Extremely interested,Extremely interested,Between 5:00 - 6:00 AM,5 - 8 hours,Over 4 hours,Daily or almost every day,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25 - 34 years old,No,,The survey was an appropriate length,Very easy
88943,63018,Yes,No,Indonesia,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Student,3-5 years,,,,,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,5.0,9.0,10.0,1.0,3.0,6.0,2.0,4.0,8.0,7.0,2.0,6.0,1.0,10.0,7.0,9.0,5.0,8.0,3.0,4.0,11.0,5.0,2.0,1.0,4.0,3.0,2.0,7.0,4.0,1.0,3.0,5.0,6.0,My job status or other personal status changed,,,Yearly,,IDR,,,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,C;C++;Go;Java;Lua;Python;SQL,C;C++;Go;Python;Ruby;Rust;SQL;Kotlin,MongoDB;MySQL;PostgreSQL,MySQL;PostgreSQL,Arduino;AWS;Heroku;Linux,Heroku;Linux;Raspberry Pi,Node.js;TensorFlow;Torch/PyTorch,Django;Node.js;TensorFlow;Torch/PyTorch,IPython / Jupyter;PyCharm;Sublime Text;Vim,Linux-based,1,,Git;Copying and pasting files to network shares,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content,Neither agree nor disagree,Somewhat agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),2.0,5.0,3.0,4.0,1.0,7.0,6.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,No,A little bit interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,I do not have a set schedule,5 - 8 hours,3 - 4 hours,3 - 4 times per week,,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,18 - 24 years old,No,,The survey was an appropriate length,Somewhat easy
89099,69290,Yes,No,Indonesia,No,Retired,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,8.0,6.0,5.0,1.0,7.0,2.0,3.0,4.0,10.0,9.0,7.0,8.0,10.0,11.0,4.0,3.0,2.0,1.0,5.0,9.0,6.0,1.0,2.0,4.0,5.0,3.0,4.0,6.0,1.0,3.0,7.0,2.0,5.0,My job status or other personal status changed,,,,,,,,"Taught yourself a new language, framework, or tool without taking a formal course",The technology’s online help system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,I have never visited Stack Overflow (before today),,,,,,Yes,A little bit interested,A little bit interested,Very interested,Extremely interested,Very interested,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,1 - 2 times per week,Standing desk,1 - 2 times per week,,,,,,,,,
89278,76326,Yes,Yes,Indonesia,No,,Primary/elementary school,,,Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,10.0,2.0,6.0,5.0,8.0,7.0,1.0,9.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89354,79140,Yes,No,Indonesia,"Yes, full-time","Independent contractor, freelancer, or self-employed",Primary/elementary school,,,Back-end developer,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;Ruby;SQL;HTML;CSS,MySQL,MongoDB;Redis;MySQL,,,,,Atom;PHPStorm;Visual Studio Code,Linux-based,2,Kanban,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;I wanted to view a specific advertisement;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads;The website I was visiting has interesting ads,Strongly agree,Neither agree nor disagree,Somewhat disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,1.0,4.0,2.0,5.0,6.0,7.0,3.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Yes,No,The developer who wrote it,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89403,80715,Yes,No,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,6-8 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,4.0,7.0,1.0,9.0,6.0,10.0,3.0,2.0,5.0,8.0,10.0,6.0,3.0,2.0,11.0,8.0,9.0,5.0,1.0,7.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,5.0,2.0,6.0,1.0,4.0,7.0,My job status or other personal status changed,Bitcoin (btc),,Monthly,,BTC,,,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","Tapping your network of friends, family, and peers versed in the technology",,,Agree,Neither Agree nor Disagree,Disagree,C++;C#;Java;JavaScript;PHP;Python;SQL;VB.NET;HTML;CSS,Assembly;C;C++;C#;Java;JavaScript;PHP;Python;Ruby;SQL;VB.NET;HTML;CSS,MySQL;MariaDB,SQL Server;MySQL;Oracle;MariaDB,Windows Desktop or Server,Android;Google Home;Linux;Windows Desktop or Server;WordPress,,Angular;Django;Node.js,Android Studio;Atom;Eclipse;NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio,Windows,2,Evidence-based software engineering;Extreme programming (XP);Mob programming;Pair programming,Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,Multiple times per day,I'm not sure/I don't know,,,Somewhat agree,Somewhat agree,Somewhat agree,Clicked on an online advertisement,5.0,7.0,6.0,1.0,2.0,4.0,3.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,5,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",5,I'm not sure,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,I do not have a set schedule,1 - 4 hours,3 - 4 hours,,Standing desk,1 - 2 times per week,Male,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,No,,The survey was too long,Neither easy nor difficult
89466,83536,Yes,No,Indonesia,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",,Student,0-2 years,,,,,"I’m not actively looking, but I am open to new opportunities",I've never had a job,10.0,9.0,6.0,1.0,5.0,3.0,8.0,4.0,7.0,2.0,9.0,11.0,4.0,10.0,2.0,7.0,1.0,6.0,8.0,3.0,5.0,2.0,1.0,3.0,5.0,4.0,5.0,3.0,2.0,1.0,7.0,6.0,4.0,I received negative feedback on my job performance,U.S. dollars ($),,,,,,,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,C;C++;C#;SQL,C#;Java;JavaScript;Python;SQL,MySQL,SQL Server;MySQL;MariaDB,,Android;Arduino;ESP8266;Gaming console;Linux;Raspberry Pi;Windows Desktop or Server;Firebase,,.NET Core;Node.js;Xamarin,Android Studio;IntelliJ;Notepad++;Visual Studio,Windows,1,,Git,Weekly or a few times per month,I'm not sure/I don't know,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,3.0,2.0,1.0,4.0,6.0,7.0,5.0,"Artificial intelligence surpassing human intelligence (""the singularity"")","Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Unsure / I don't know,9,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",9,I'm not sure,Very interested,Very interested,Very interested,Very interested,Somewhat interested,I do not have a set schedule,9 - 12 hours,1 - 2 hours,Never,Fatigue-relieving floor mat;Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",East Asian,18 - 24 years old,,,The survey was an appropriate length,Neither easy nor difficult
